Name,team,season,position,dateOfBirth,Age,Matches,rating_points,cp_ratio
Brent Prismall,Essendon,2012,MIDFIELDER,1986-07-14,NA,NA,NA,NA
Brent Reilly,Adelaide Crows,2012,MEDIUM_DEFENDER,1983-11-12,29,25,13.196,0.3390191897654584
Brent Renouf,Port Adelaide,2012,RUCK,1988-05-03,24,10,4.79,0.48684210526315796
Brent Staker,Brisbane Lions,2012,MEDIUM_DEFENDER,1984-05-23,NA,NA,NA,NA
Brent Stanton,Essendon,2012,MIDFIELDER,1986-05-01,26,20,13.305,0.3259557344064386
Bret Thornton,Carlton,2012,KEY_FORWARD,1983-11-15,29,7,4.757142857142857,0.3333333333333333
Brett Deledio,Richmond,2012,MIDFIELDER,1987-04-18,25,22,15.068181818181818,0.3591905564924115
Brett Ebert,Port Adelaide,2012,MEDIUM_FORWARD,1983-11-18,29,16,8.325,0.46632124352331605
Brett Meredith,Sydney Swans,2012,MIDFIELDER,1989-01-20,NA,NA,NA,NA
Brett O'Hanlon,Richmond,2012,MEDIUM_FORWARD,1993-07-17,NA,NA,NA,NA
Brett Peake,St Kilda,2012,MIDFIELDER,1983-07-05,29,1,4,0.36363636363636365
Brian Lake,Western Bulldogs,2012,KEY_DEFENDER,1982-02-27,30,20,7.52,0.3203592814371257
Broc McCauley,Hawthorn,2012,RUCK,1986-12-20,26,3,9.133333333333333,0.696969696969697
Brock McLean,Carlton,2012,MIDFIELDER,1986-03-11,26,15,11.093333333333334,0.4430051813471503
Brodie Martin,Adelaide Crows,2012,MEDIUM_DEFENDER,1988-11-06,24,7,5.685714285714286,0.27835051546391754
Brodie Moles,Western Bulldogs,2012,MIDFIELDER,1985-11-07,NA,NA,NA,NA
Brodie Smith,Adelaide Crows,2012,MEDIUM_DEFENDER,1992-01-14,20,22,8.795454545454545,0.34571428571428575
Bryce Gibbs,Carlton,2012,MIDFIELDER,1989-03-15,23,22,10.690909090909091,0.2804347826086957
Bryce Retzlaff,Brisbane Lions,2012,KEY_FORWARD,1991-06-29,NA,NA,NA,NA
Cale Hooker,Essendon,2012,KEY_DEFENDER,1988-10-13,24,17,8.841176470588236,0.36861313868613144
Cale Morton,Melbourne,2012,MIDFIELDER,1990-01-18,22,9,6.855555555555555,0.28571428571428575
Callan Ward,GWS Giants,2012,MIDFIELDER,1990-04-10,22,20,15.25,0.5092402464065708
Callum Bartlett,Brisbane Lions,2012,MIDFIELDER,1991-06-19,NA,NA,NA,NA
Callum Papertalk,West Coast Eagles,2012,MIDFIELDER_FORWARD,1992-08-12,NA,NA,NA,NA
Cam Sutcliffe,Fremantle,2012,MIDFIELDER,1992-05-23,20,4,6.8500000000000005,0.43902439024390244
Cameron Bruce,Hawthorn,2012,MEDIUM_FORWARD,1979-09-30,33,1,6,0.7142857142857143
Cameron Delaney,North Melbourne,2012,KEY_DEFENDER,1992-06-19,20,5,7.74,0.30985915492957744
Cameron Eardley,Geelong Cats,2012,MIDFIELDER,1993-06-24,NA,NA,NA,NA
Cameron Ellis-Yolmen,Adelaide Crows,2012,MIDFIELDER,1993-01-28,NA,NA,NA,NA
Cameron Guthrie,Geelong Cats,2012,MEDIUM_DEFENDER,1992-08-19,20,18,5.9,0.3850267379679144
Cameron Hitchcock,Port Adelaide,2012,MEDIUM_FORWARD,1990-07-03,22,2,3.45,0
Cameron O'Shea,Port Adelaide,2012,MEDIUM_DEFENDER,1992-03-13,NA,NA,NA,NA
Cameron Pedersen,North Melbourne,2012,RUCK,1987-03-17,25,2,6.3,0.2608695652173913
Cameron Richardson,North Melbourne,2012,MIDFIELDER,1987-12-02,NA,NA,NA,NA
Cameron Shenton,St Kilda,2012,MIDFIELDER_FORWARD,1990-09-27,NA,NA,NA,NA
Cameron Wood,Collingwood,2012,RUCK,1987-03-04,25,6,9.683333333333334,0.5194805194805194
Campbell Brown,Gold Coast Suns,2012,MEDIUM_FORWARD,1983-08-28,29,19,7.231578947368421,0.36111111111111116
Campbell Heath,Sydney Swans,2012,MEDIUM_DEFENDER,1991-04-01,NA,NA,NA,NA
Caolan Mooney,Collingwood,2012,MIDFIELDER,1993-01-25,19,4,2.775,0.5882352941176471
Chad Cornes,GWS Giants,2012,KEY_DEFENDER,1979-11-12,33,16,8.76875,0.3059210526315789
Chad Wingard,Port Adelaide,2012,MIDFIELDER,1993-07-29,19,19,7.794736842105263,0.4369747899159664
Chance Bateman,Hawthorn,2012,MIDFIELDER,1981-06-21,31,3,2.3666666666666667,0.3076923076923077
Charlie Dixon,Gold Coast Suns,2012,KEY_DEFENDER,1990-09-23,22,12,9.041666666666666,0.5974025974025974
Cheynee Stiller,Brisbane Lions,2012,MEDIUM_DEFENDER,1986-05-03,26,3,6.2,0.3191489361702128
Chris Dawes,Collingwood,2012,KEY_FORWARD,1988-05-16,24,23,6.530434782608696,0.4370860927152318
Chris Judd,Carlton,2012,MIDFIELDER,1983-09-08,29,17,16.241176470588236,0.475177304964539
Chris Knights,Adelaide Crows,2012,MIDFIELDER_FORWARD,1986-09-25,26,5,5.5,0.24590163934426232
Chris Masten,West Coast Eagles,2012,MIDFIELDER,1989-05-02,23,24,10.925,0.29545454545454547
Chris Mayne,Fremantle,2012,MEDIUM_FORWARD,1988-11-02,24,23,10.969565217391304,0.45937500000000003
Chris Newman,Richmond,2012,MEDIUM_DEFENDER,1982-05-18,30,22,9.368181818181817,0.35042735042735046
Chris Tarrant,Collingwood,2012,KEY_FORWARD,1980-09-18,32,12,7.241666666666666,0.38524590163934425
Chris Yarran,Carlton,2012,MEDIUM_DEFENDER,1990-12-19,22,18,10.355555555555556,0.2829457364341085
Christian Howard,Western Bulldogs,2012,MEDIUM_DEFENDER,1991-03-19,21,11,6.9,0.29444444444444445
Clancee Pearce,Fremantle,2012,MIDFIELDER,1990-10-23,22,24,11.15,0.38297872340425526
Clay Smith,Western Bulldogs,2012,MIDFIELDER,1993-05-11,19,16,6.0125,0.3242009132420091
Claye Beams,Brisbane Lions,2012,MIDFIELDER,1991-09-01,21,8,8.7625,0.3697478991596639
Clint Bartram,Melbourne,2012,MEDIUM_DEFENDER,1988-02-16,24,8,6.65,0.39090909090909093
Clinton Jones,St Kilda,2012,MIDFIELDER,1984-02-02,28,17,9.01764705882353,0.3836065573770492
Clinton Young,Hawthorn,2012,MIDFIELDER,1986-02-16,26,20,10.615,0.20111731843575417
Colin Garland,Melbourne,2012,MEDIUM_DEFENDER,1988-04-28,24,22,8.868181818181817,0.3622641509433962
Colin Sylvia,Melbourne,2012,MIDFIELDER_FORWARD,1985-11-08,27,17,11.71764705882353,0.4401294498381877
Corey Enright,Geelong Cats,2012,MEDIUM_DEFENDER,1981-09-14,31,22,13.068181818181818,0.35840707964601765
Corey Gault,Collingwood,2012,RUCK,1992-10-28,NA,NA,NA,NA
Cory Dell'Olio,Essendon,2012,MEDIUM_FORWARD,1989-12-08,NA,NA,NA,NA
Courtenay Dempsey,Essendon,2012,MEDIUM_DEFENDER,1987-08-28,25,20,9.985,0.3222222222222222
Craig Bird,Sydney Swans,2012,MIDFIELDER_FORWARD,1989-01-21,23,25,9.048,0.46588235294117647
Cruize Garlett,North Melbourne,2012,MIDFIELDER,1989-03-06,23,7,8.6,0.4824561403508772
Curtly Hampton,GWS Giants,2012,MEDIUM_DEFENDER,1993-03-10,19,17,4.364705882352941,0.3192488262910798
Cyril Rioli,Hawthorn,2012,MIDFIELDER_FORWARD,1989-07-14,23,23,16.8,0.5322580645161291
Dale Morris,Western Bulldogs,2012,MEDIUM_DEFENDER,1982-12-29,NA,NA,NA,NA
Dale Thomas,Collingwood,2012,MIDFIELDER_FORWARD,1987-06-21,25,20,12.93,0.40046838407494145
Dan Hannebery,Sydney Swans,2012,MIDFIELDER,1991-02-24,21,25,9.64,0.36272878535773717
Dane Swan,Collingwood,2012,MIDFIELDER,1984-02-25,28,21,16.952380952380953,0.39747191011235955
Daniel Archer,St Kilda,2012,KEY_FORWARD,1991-10-26,NA,NA,NA,NA
Daniel Connors,Richmond,2012,MEDIUM_DEFENDER,1988-09-22,24,2,6.949999999999999,0.42105263157894735
Daniel Cross,Western Bulldogs,2012,MIDFIELDER,1983-03-30,29,17,12.2,0.3918269230769231
Daniel Farmer,Collingwood,2012,MEDIUM_FORWARD,1992-07-22,NA,NA,NA,NA
Daniel Giansiracusa,Western Bulldogs,2012,MEDIUM_FORWARD,1982-03-11,30,17,10.717647058823529,0.40856031128404674
Daniel Gorringe,Gold Coast Suns,2012,RUCK,1992-06-02,20,1,3.8,0.3333333333333333
Daniel Jackson,Richmond,2012,MIDFIELDER,1986-04-25,26,19,7.247368421052632,0.3473389355742297
Daniel Kerr,West Coast Eagles,2012,MIDFIELDER,1983-05-16,29,24,11.691666666666666,0.5107913669064749
Daniel Markworth,St Kilda,2012,MEDIUM_FORWARD,1992-04-03,NA,NA,NA,NA
Daniel Menzel,Geelong Cats,2012,MEDIUM_FORWARD,1991-09-13,NA,NA,NA,NA
Daniel Merrett,Brisbane Lions,2012,KEY_FORWARD,1984-12-12,28,22,10.186363636363636,0.47586206896551725
Daniel Nicholson,Melbourne,2012,MEDIUM_DEFENDER,1990-11-02,22,11,9.245454545454546,0.3571428571428571
Daniel Pearce,Western Bulldogs,2012,MEDIUM_DEFENDER,1993-01-22,19,5,4.18,0.14285714285714285
Daniel Rich,Brisbane Lions,2012,MIDFIELDER,1990-06-07,22,20,14.97,0.4454545454545455
Daniel Stewart,Port Adelaide,2012,KEY_FORWARD,1988-10-30,24,12,5.15,0.5428571428571428
Daniel Talia,Adelaide Crows,2012,KEY_DEFENDER,1991-10-02,21,23,7.091304347826087,0.55
Daniel Webb,Port Adelaide,2012,KEY_FORWARD,1989-09-20,NA,NA,NA,NA
Daniel Wells,North Melbourne,2012,MIDFIELDER,1985-02-03,27,20,15.29,0.3617977528089888
Danny Butcher,Port Adelaide,2012,MIDFIELDER,1993-01-22,NA,NA,NA,NA
Danny Stanley,Gold Coast Suns,2012,MEDIUM_DEFENDER,1988-02-18,24,13,9.723076923076922,0.3514376996805112
Danyle Pearce,Port Adelaide,2012,MIDFIELDER,1986-04-07,26,20,10.16,0.2700534759358289
Darren Glass,West Coast Eagles,2012,KEY_DEFENDER,1981-05-14,31,22,7.881818181818182,0.42611683848797255
Darren Jolly,Collingwood,2012,RUCK,1981-11-06,31,20,10.905,0.5087719298245614
Darren Minchington,St Kilda,2012,MEDIUM_FORWARD,1993-12-09,NA,NA,NA,NA
Darren Pfeiffer,Port Adelaide,2012,MIDFIELDER,1987-09-28,25,16,7.225,0.4107142857142857
David Armitage,St Kilda,2012,MIDFIELDER,1988-06-16,24,21,10.380952380952381,0.3796296296296296
David Astbury,Richmond,2012,KEY_FORWARD,1991-02-26,21,2,7.5,0.5
David Ellard,Carlton,2012,MIDFIELDER,1989-03-13,23,10,9.4,0.45502645502645506
David Hale,Hawthorn,2012,RUCK,1984-05-22,28,24,11.05,0.561046511627907
David Hille,Essendon,2012,KEY_FORWARD,1981-06-02,31,9,10.033333333333333,0.392
David Mackay,Adelaide Crows,2012,MIDFIELDER,1988-07-25,24,23,9.57391304347826,0.3247422680412371
David Mundy,Fremantle,2012,MIDFIELDER,1985-07-20,27,22,10.736363636363636,0.42944785276073616
David Myers,Essendon,2012,MEDIUM_DEFENDER,1989-06-30,23,9,9.844444444444445,0.38961038961038963
David Rodan,Port Adelaide,2012,MIDFIELDER,1983-10-08,29,10,9.16,0.47552447552447547
David Swallow,Gold Coast Suns,2012,MIDFIELDER,1992-11-19,20,12,10.291666666666666,0.5
David Wojcinski,Geelong Cats,2012,MEDIUM_DEFENDER,1980-09-18,32,4,5.725,0.2037037037037037
David Zaharakis,Essendon,2012,MIDFIELDER,1990-02-21,22,13,12.453846153846154,0.3611111111111111
Dawson Simpson,Geelong Cats,2012,RUCK,1989-02-17,23,2,4.1,0.625
Dayne Beams,Collingwood,2012,MIDFIELDER,1990-02-12,22,24,16.1125,0.3806970509383378
Dayne Zorko,Brisbane Lions,2012,MIDFIELDER,1989-02-09,23,16,14.69375,0.4231974921630094
Dean Brogan,GWS Giants,2012,RUCK,1978-12-14,34,9,6.977777777777778,0.5096153846153846
Dean Cox,West Coast Eagles,2012,RUCK,1981-08-01,31,24,10.675,0.4214659685863874
Dean Macdonald,Richmond,2012,MEDIUM_FORWARD,1992-07-06,NA,NA,NA,NA
Dean Polo,St Kilda,2012,MIDFIELDER,1986-08-05,26,6,4.2,0.39024390243902435
Dennis Armfield,Carlton,2012,MIDFIELDER_FORWARD,1986-12-22,26,21,8.19047619047619,0.3413793103448276
Derick Wanganeen,Hawthorn,2012,MIDFIELDER,1991-02-05,NA,NA,NA,NA
Devon Smith,GWS Giants,2012,MIDFIELDER_FORWARD,1993-05-20,19,20,6.235,0.384375
Dion Prestia,Gold Coast Suns,2012,MIDFIELDER,1992-10-12,20,14,9.385714285714286,0.4086021505376343
Dom Cassisi,Port Adelaide,2012,MIDFIELDER,1982-09-22,NA,NA,NA,NA
Dom Tyson,GWS Giants,2012,MIDFIELDER,1993-06-08,19,10,6.76,0.3647798742138365
Drew Petrie,North Melbourne,2012,KEY_FORWARD,1982-10-15,30,23,12.421739130434784,0.5566666666666666
Dustin Fletcher,Essendon,2012,KEY_DEFENDER,1975-05-07,37,18,10.738888888888889,0.36286919831223624
Dustin Martin,Richmond,2012,MIDFIELDER_FORWARD,1991-06-26,21,20,13.435,0.3673913043478261
Dylan Addison,Western Bulldogs,2012,MEDIUM_DEFENDER,1987-10-07,25,17,6.682352941176471,0.3472803347280335
Dylan Buckley,Carlton,2012,MIDFIELDER,1993-03-16,NA,NA,NA,NA
Dylan Grimes,Richmond,2012,KEY_DEFENDER,1991-07-16,21,9,8.855555555555556,0.2397260273972603
Dylan McNeil,Sydney Swans,2012,MIDFIELDER,1991-03-20,NA,NA,NA,NA
Dylan Orval,Adelaide Crows,2012,KEY_FORWARD,1993-07-29,NA,NA,NA,NA
Dylan Roberton,Fremantle,2012,MEDIUM_DEFENDER,1991-06-21,21,10,6.53,0.4629629629629629
Dylan Shiel,GWS Giants,2012,MIDFIELDER,1993-03-09,19,12,11.983333333333334,0.4137931034482758
Dyson Heppell,Essendon,2012,MEDIUM_DEFENDER,1992-05-14,20,20,8.435,0.3232558139534884
Easton Wood,Western Bulldogs,2012,MEDIUM_DEFENDER,1989-09-04,23,14,6.55,0.2935323383084577
Ed Curnow,Carlton,2012,MIDFIELDER,1989-11-07,23,18,7.166666666666667,0.43167701863354035
